category,urgency,scope,price_low,price_high,typical_tasks,recommendations,next_steps
painting,low,large,1200,3500,"Multiple rooms, full exterior, deck staining","Invest in quality paint for longevity; pressure wash exterior first","Plan for 3-5 day project; get multiple quotes"
painting,medium,small,200,500,"Repair and repaint water-damaged section, cover stains","Address underlying moisture issue first; use stain-blocking primer","Fix water source before painting; schedule within a week"
painting,medium,medium,500,1500,"Repair and repaint damaged room, fix peeling exterior","Scrape and sand properly; check for lead paint in older homes","Address structural issues first; plan for 2-3 days"
painting,medium,large,1500,4000,"Storm damage repaint, full exterior after repair, multiple damaged rooms","Ensure all repairs complete before painting; use weather-resistant paint","Coordinate with repair contractor; allow curing time"
painting,high,small,300,600,"Emergency cover-up of damage, graffiti removal","Use appropriate removal products first; document damage","Address within 24-48 hours for best results"
painting,high,medium,600,1800,"Urgent room repaint after damage, emergency exterior protection","Seal and protect exposed surfaces; use quick-dry products","Schedule ASAP; prioritize sealing exposed surfaces"
painting,high,large,1800,5000,"Full emergency repaint after fire/water damage, protective coating application","Document for insurance; ensure structure is safe first","Coordinate with restoration company"
roofing,low,small,150,500,"Replace few shingles, seal minor crack, clean gutters","Inspect annually; keep gutters clean; trim overhanging branches","Schedule during dry weather; get annual inspection"
roofing,low,medium,500,2000,"Partial re-shingle, fix flashing, repair soffit","Check attic for signs of leaks; improve ventilation","Get 2-3 quotes; plan for good weather window"
roofing,low,large,2000,8000,"Full roof replacement, add ridge vent, install new gutters","Consider energy-efficient materials; check for structural issues","Get multiple quotes; check contractor licensing; plan 2-3 day job"
roofing,medium,small,250,700,"Fix active minor leak, replace damaged flashing, emergency patch","Place bucket under leak; protect belongings below","Schedule within 1-2 days; apply temporary patch"
roofing,medium,medium,700,2500,"Repair storm damage section, fix multiple leaks, replace damaged decking","Tarp exposed areas; document damage for insurance","Get emergency tarp; schedule repair within days"
roofing,medium,large,2500,10000,"Major storm damage repair, partial roof rebuild, structural repair","File insurance claim; get professional assessment","Hire licensed roofer; expect multi-day project"
roofing,high,small,400,1000,"Emergency leak patch, temporary tarp installation","Contain water inside; move belongings away","Call roofer today; apply temporary measures"
roofing,high,medium,1000,3500,"Emergency storm damage repair, fix collapsed section","Ensure structural safety; evacuate if needed","Emergency service required; file insurance claim"
roofing,high,large,3500,15000,"Emergency full roof repair, structural damage, collapse prevention","Ensure building safety; contact insurance; temporary housing if needed","Immediate emergency response; expect extended repair timeline"
electrical,low,small,75,250,"Replace outlet, install dimmer switch, add light fixture","Ensure GFCI outlets in wet areas; consider smart switches","Schedule at convenience; hire licensed electrician"
electrical,low,medium,250,800,"Add circuit, install ceiling fan, upgrade outlets in room","Consider whole-room electrical plan; add surge protection","Get permit if needed; schedule 1-day job"
electrical,low,large,800,3000,"Panel upgrade, whole-house rewire planning, EV charger install","Consider future electrical needs; upgrade to 200-amp if needed","Get multiple quotes; ensure proper permits"
electrical,medium,small,150,400,"Fix sparking outlet, replace faulty switch, repair exposed wire","Do not use affected circuit until repaired; check breaker","Schedule within 1-2 days; avoid using the circuit"
electrical,medium,medium,400,1200,"Fix circuit overload, repair faulty wiring section, replace old panel breakers","Map all circuits; check for aluminum wiring","Schedule within 24-48 hours; reduce load on affected circuit"
electrical,medium,large,1200,4000,"Replace outdated panel, rewire problem area, fix code violations","Get electrical inspection; address fire hazards first","Hire licensed electrician; expect multi-day work"
electrical,high,small,200,600,"Emergency outlet repair, burning smell investigation, tripped breaker won't reset","Turn off breaker immediately; do not use circuit","Call electrician today; this is a fire hazard"
electrical,high,medium,600,2000,"Emergency panel issue, multiple circuit failures, exposed live wires","Turn off main breaker; evacuate area if smell of burning","Emergency electrician needed; potential fire hazard"
electrical,high,large,2000,6000,"Emergency rewire, fire damage electrical repair, full panel replacement","Ensure fire department has cleared the property; contact insurance","Immediate emergency service; coordinate with fire restoration"
hvac,low,small,75,250,"Replace filter, clean vents, thermostat replacement","Change filters every 1-3 months; consider smart thermostat","Schedule at convenience; routine maintenance"
hvac,low,medium,250,800,"Annual tune-up, duct cleaning, add zone damper","Schedule maintenance before peak season; clean condensate drain","Book seasonal maintenance; improve efficiency"
hvac,low,large,800,3000,"Replace AC unit, install new furnace, add ductwork","Consider energy-efficient models; check for rebates","Get 3+ quotes; plan for 1-2 day installation"
hvac,medium,small,150,400,"Fix unusual noise, repair thermostat wiring, replace capacitor","Monitor system performance; check refrigerant levels","Schedule within a few days; note any changes in performance"
hvac,medium,medium,400,1200,"Fix refrigerant leak, replace blower motor, repair ductwork leak","Seal visible duct gaps; check insulation","Schedule within 24-48 hours; system working but inefficient"
hvac,medium,large,1200,4000,"Replace compressor, major duct repair, install backup heating","Consider full system replacement if unit is old; check warranty","Schedule this week; get professional assessment"
hvac,high,small,200,500,"Emergency filter/airflow fix, reset system, emergency thermostat repair","Check all vents are open; change filter immediately","Call HVAC tech today; ensure air circulation"
hvac,high,medium,500,1500,"AC/heater completely out, refrigerant emergency, blower failure","Use portable heating/cooling; check breakers","Emergency HVAC service needed; temporary comfort measures"
hvac,high,large,1500,5000,"Full system failure, emergency replacement, CO detector alarm from furnace","Ensure safety (CO risk); evacuate if gas smell; use portable units","Immediate emergency service; ensure occupant safety"
general_repair,low,small,50,200,"Fix squeaky door, patch small hole, replace hardware","Stock basic repair supplies; address small issues before they grow","DIY possible; hire handyman for multiple small tasks"
general_repair,low,medium,200,700,"Fix drywall damage, replace window screen, repair deck boards","Inspect related areas; consider preventive maintenance","Schedule handyman; combine multiple small repairs"
general_repair,low,large,700,2500,"Fence repair, deck restoration, bathroom caulking and tile repair","Plan seasonal maintenance; address drainage issues","Get quotes; plan for multi-day project"
general_repair,medium,small,100,350,"Fix broken lock, repair leaking window, patch larger hole","Secure the area temporarily; check for related damage","Schedule within a few days; temporary fix if needed"
general_repair,medium,medium,350,1000,"Fix structural crack, repair damaged siding, replace broken window","Document damage; check for insurance coverage","Schedule this week; temporary weatherproofing if exterior"
general_repair,medium,large,1000,3500,"Major fence replacement, deck rebuild, multiple window replacements","Get structural assessment; check permits needed","Get multiple quotes; plan for extended project"
general_repair,high,small,150,500,"Emergency lock repair, broken window board-up, trip hazard fix","Secure the area; ensure safety","Address within 24 hours; temporary measures first"
general_repair,high,medium,500,1500,"Emergency structural support, storm damage boarding, safety hazard repair","Ensure structural safety; evacuate if needed","Emergency handyman/contractor needed"
general_repair,high,large,1500,5000,"Emergency storm damage, structural repair, major safety issue","Contact insurance; ensure building safety; temporary housing if needed","Immediate emergency response; coordinate multiple contractors"
